I	PRP	S-NP	O	S-A0	O	False
charge	VBP	S-VP	O	S-V	O	False
it	PRP	S-NP	O	S-A1	O	False
at	IN	S-PP	O	B-AM-TMP	O	False
night	NN	S-NP	O	E-AM-TMP	O	False
and	CC	O	O	-	O	False
skip	VB	B-VP	O	S-V	O	False
taking	VBG	E-VP	O	S-V	O	False
the	DT	B-NP	O	B-A1	O	False
cord	NN	E-NP	O	E-A1	O	True
with	IN	S-PP	O	B-A2	O	False
me	PRP	S-NP	O	E-A2	O	False
because	IN	B-PP	O	B-AM-CAU	O	False
of	IN	E-PP	O	I-AM-CAU	O	False
the	DT	B-NP	O	I-AM-CAU	O	False
good	JJ	I-NP	O	I-AM-CAU	O	False
battery	NN	I-NP	O	I-AM-CAU	O	True
life	NN	E-NP	O	E-AM-CAU	O	True
.	.	O	O	-	O	False

I	PRP	S-NP	O	S-A0	Have_associated	False
bought	VBD	S-VP	O	S-V	Commerce_buy	False
a	DT	B-NP	O	B-A1	Commerce_buy	False
HP	NNP	I-NP	B-MISC	I-A1	Commerce_buy	False
Pavilion	NNP	I-NP	I-MISC	I-A1	Buildings	False
DV4-1222nr	NNP	I-NP	E-MISC	I-A1	Commerce_buy	False
laptop	NN	E-NP	O	E-A1	Commerce_buy	False
and	CC	O	O	-	O	False
have	VB	B-VP	O	-	O	False
had	VBN	E-VP	O	-	Have_associated	False
so	RB	B-NP	O	-	Have_associated	False
many	JJ	I-NP	O	-	Quantity	False
problems	NNS	E-NP	O	-	Quantity	False
with	IN	S-PP	O	-	Quantity	False
the	DT	B-NP	O	-	Quantity	False
computer	NN	E-NP	O	-	Quantity	False
.	.	O	O	-	O	False

The	DT	B-NP	O	B-A0	O	False
tech	NN	I-NP	O	I-A0	O	True
guy	NN	E-NP	O	E-A0	O	True
then	RB	S-ADVP	O	S-AM-TMP	O	False
said	VBD	S-VP	O	S-V	O	False
the	DT	B-NP	O	B-A0	O	False
service	NN	I-NP	O	I-A0	O	True
center	NN	E-NP	O	E-A0	O	True
does	VBZ	B-VP	O	I-A1	O	False
not	RB	I-VP	O	S-AM-NEG	O	False
do	VB	E-VP	O	S-V	O	False
1-to-1	JJ	B-NP	O	B-A1	O	False
exchange	NN	E-NP	O	E-A1	O	False
and	CC	O	O	I-A1	O	False
I	PRP	S-NP	O	S-A0	Have_associated	False
have	VBP	B-VP	O	S-AM-MOD	O	False
to	TO	I-VP	O	I-A1	O	False
direct	VB	E-VP	O	S-V	O	False
my	PRP$	B-NP	O	B-A1	O	False
concern	NN	E-NP	O	E-A1	O	False
to	TO	S-PP	O	B-A2	O	False
the	DT	B-NP	O	I-A2	O	False
``	``	I-NP	O	I-A2	O	False
sales	NNS	I-NP	O	I-A2	O	False
''	''	I-NP	O	I-A2	O	False
team	NN	E-NP	O	I-A2	O	False
,	,	O	O	I-A2	O	False
which	WDT	S-NP	O	I-A2	O	False
is	VBZ	S-VP	O	I-A2	O	False
the	DT	B-NP	O	I-A2	O	False
retail	JJ	I-NP	O	I-A2	O	False
shop	NN	E-NP	O	I-A2	O	False
which	WDT	S-NP	O	I-A2	O	False
I	PRP	S-NP	O	S-A0	Have_associated	False
bought	VBD	S-VP	O	S-V	Commerce_buy	False
my	PRP$	B-NP	O	B-A1	O	False
netbook	NN	E-NP	O	E-A1	O	False
from	IN	S-PP	O	E-A2	O	False
.	.	O	O	-	O	False

I	PRP	S-NP	O	S-A0	Scrutiny	False
investigated	VBD	S-VP	O	S-V	Scrutiny	False
netbooks	NNS	S-NP	O	S-A1	Scrutiny	False
and	CC	O	O	-	O	False
saw	VBD	S-VP	O	S-V	Perception_experience	False
the	DT	B-NP	O	B-A1	Perception_experience	False
Toshiba	NNP	I-NP	B-ORG	I-A1	Perception_experience	False
NB305-N410BL	NNP	E-NP	E-ORG	E-A1	Perception_experience	False
.	.	O	O	-	O	False

The	DT	B-NP	O	B-AM-TMP	O	False
other	JJ	I-NP	O	I-AM-TMP	Increment	False
day	NN	E-NP	O	E-AM-TMP	Calendric_unit	False
I	PRP	S-NP	O	S-A0	Have_associated	False
had	VBD	S-VP	O	S-V	Have_associated	False
a	DT	B-NP	O	B-A1	Have_associated	False
presentation	NN	E-NP	O	I-A1	Have_associated	False
to	TO	B-VP	O	I-A1	Have_associated	False
do	VB	E-VP	O	S-V	Intentionally_act	False
for	IN	S-PP	O	B-AM-PNC	Intentionally_act	False
a	DT	B-NP	O	I-AM-PNC	Intentionally_act	False
seminar	NN	E-NP	O	E-AM-PNC	Intentionally_act	False
at	IN	S-PP	O	B-AM-LOC	O	False
a	DT	B-NP	O	I-AM-LOC	O	False
large	JJ	I-NP	O	I-AM-LOC	Dimension	False
conference	NN	E-NP	O	I-AM-LOC	Dimension	False
in	IN	S-PP	O	I-AM-LOC	Discussion	False
town-	NN	B-NP	O	I-AM-LOC	Discussion	False
lots	NNS	E-NP	O	I-AM-LOC	Discussion	False
of	IN	S-PP	O	I-AM-LOC	Discussion	False
people	NNS	S-NP	O	I-AM-LOC	Discussion	False
,	,	O	O	I-AM-LOC	O	False
little	JJ	B-NP	O	I-AM-LOC	Sufficiency	False
time	NN	E-NP	O	I-AM-LOC	Measure_duration	False
to	TO	S-PP	O	I-AM-LOC	O	False
prep	NN	S-NP	O	E-AM-LOC	O	False
and	CC	O	O	I-A1	O	False
have	VBP	B-VP	O	S-AM-MOD	Being_obligated	False
to	TO	I-VP	O	I-A1	Being_obligated	False
set	VB	E-VP	O	B-V	Intentionally_create	False
up	RP	S-PRT	O	E-V	Intentionally_create	False
a	DT	B-NP	O	B-A1	Intentionally_create	False
computer	NN	E-NP	O	E-A1	Intentionally_create	False
to	TO	S-PP	O	B-A2	O	False
a	DT	B-NP	O	I-A2	O	False
projector	NN	E-NP	O	I-A2	O	False
,	,	O	O	I-A2	O	False
etc	UH	O	O	E-A2	O	False
.	.	O	O	-	O	False

it	PRP	S-NP	O	-	O	False
is	VBZ	S-VP	O	-	O	False
of	IN	S-PP	O	-	O	False
high	JJ	B-NP	O	-	O	False
quality	NN	E-NP	O	-	O	True
,	,	O	O	-	O	False
has	VBZ	S-VP	O	S-V	O	False
a	DT	B-NP	O	B-A1	O	False
killer	NN	I-NP	O	I-A1	O	False
GUI	NNP	E-NP	S-ORG	E-A1	O	False
,	,	O	O	-	O	False
is	VBZ	S-VP	O	-	O	False
extremely	RB	B-ADJP	O	-	O	False
stable	JJ	E-ADJP	O	-	O	False
,	,	O	O	-	O	False
is	VBZ	S-VP	O	-	O	False
highly	RB	B-ADJP	O	-	O	False
expandable	JJ	E-ADJP	O	-	O	False
,	,	O	O	-	O	False
is	VBZ	B-VP	O	-	O	False
bundled	VBN	E-VP	O	S-V	O	False
with	IN	S-PP	O	B-A2	O	False
lots	NNS	S-NP	O	I-A2	O	False
of	IN	S-PP	O	I-A2	O	False
very	RB	B-NP	O	I-A2	O	False
good	JJ	I-NP	O	I-A2	O	False
applications	NNS	E-NP	O	E-A2	O	True
,	,	O	O	-	O	False
is	VBZ	S-VP	O	-	O	False
easy	JJ	S-ADJP	O	-	O	False
to	TO	B-VP	O	-	O	False
use	VB	E-VP	O	S-V	O	True
,	,	O	O	-	O	False
and	CC	O	O	-	O	False
is	VBZ	S-VP	O	-	O	False
absolutely	RB	B-ADJP	O	-	O	False
gorgeous	JJ	E-ADJP	O	-	O	False
.	.	O	O	-	O	False

Easy	JJ	S-ADJP	O	-	O	False
to	TO	B-VP	O	-	O	False
start	VB	E-VP	O	B-V	O	True
up	RB	S-ADVP	O	E-V	O	True
and	CC	O	O	-	O	False
does	VBZ	B-VP	O	-	O	False
not	RB	I-VP	O	S-AM-NEG	O	False
overheat	VB	E-VP	O	S-V	O	False
as	RB	B-NP	O	B-AM-MNR	O	False
much	RB	I-NP	O	I-AM-MNR	O	False
as	IN	I-NP	O	I-AM-MNR	O	False
other	JJ	I-NP	O	I-AM-MNR	O	False
laptops	NNS	E-NP	O	E-AM-MNR	O	False
.	.	O	O	-	O	False

Sad	RB	B-ADJP	O	-	Stimulus_focus	False
very	RB	I-ADJP	O	-	Degree	False
SAD	JJ	E-ADJP	O	-	Degree	False
.	.	O	O	-	O	False

I	PRP	S-NP	O	S-A0	O	False
even	RB	S-ADVP	O	S-AM-ADV	O	False
got	VBD	S-VP	O	S-V	O	False
my	PRP$	B-NP	O	B-A1	O	False
teenage	JJ	I-NP	O	I-A1	O	False
son	NN	I-NP	O	I-A1	O	False
one	CD	E-NP	O	E-A1	Cardinal_numbers	False
,	,	O	O	-	O	False
because	IN	B-PP	O	B-AM-TMP	O	False
of	IN	E-PP	O	I-AM-TMP	O	False
the	DT	B-NP	O	B-A1	O	False
features	NNS	E-NP	O	E-A1	O	True
that	IN	S-NP	O	S-R-A1	O	False
it	PRP	S-NP	O	S-A0	O	False
offers	VBZ	S-VP	O	S-V	O	False
,	,	O	O	I-AM-TMP	O	False
like	IN	S-PP	O	B-A3	O	False
,	,	O	O	I-A3	O	False
iChat	NNP	B-NP	O	I-A3	O	False
,	,	I-NP	O	I-A3	O	False
Photobooth	NNP	I-NP	S-PER	I-A3	O	False
,	,	I-NP	O	I-A3	O	False
garage	NN	I-NP	O	I-A3	O	True
band	NN	E-NP	O	I-A3	O	True
and	CC	O	O	I-A3	O	False
more	JJR	S-NP	O	E-A3	O	False
!	.	O	O	-	O	False

Needless	JJ	S-ADJP	O	-	O	False
to	TO	B-VP	O	-	O	False
say	VB	E-VP	O	S-V	Statement	False
a	DT	B-NP	O	B-A0	O	False
PC	NN	E-NP	S-ORG	E-A0	Supporting	False
that	WDT	S-NP	O	S-R-A0	O	False
ca	MD	B-VP	O	S-AM-MOD	Capability	False
n't	RB	I-VP	O	S-AM-NEG	O	False
support	VB	E-VP	O	S-V	Supporting	False
a	DT	B-NP	O	B-A1	Supporting	False
cell	NN	I-NP	O	I-A1	Building_subparts	False
phone	NN	E-NP	O	E-A1	Contacting	False
is	VBZ	S-VP	O	I-A1	O	False
less	JJR	S-ADJP	O	I-A1	O	False
than	IN	S-PP	O	I-A1	O	False
useless	JJ	S-ADJP	O	E-A1	O	False
!	.	O	O	-	O	False

Great	JJ	B-NP	O	B-A0	O	False
laptop	NN	E-NP	O	E-A0	O	False
that	WDT	S-NP	O	S-R-A0	O	False
offers	VBZ	S-VP	O	S-V	O	False
many	JJ	B-NP	O	B-A1	O	False
great	JJ	I-NP	O	I-A1	O	False
features	NNS	E-NP	O	E-A1	O	True
!	.	O	O	-	O	False

they	PRP	S-NP	O	S-A0	Intentionally_act	False
